word,description,label
paiseh,(from hokkien   _ ph_i_-s_) means to be embarrassed. usually used as an apology after making an embarrassing mistake.,1
pak chiu cheng,(from hokkien) fire hand gun or to masturbate.,0
pak chiu cheng pcc,(from hokkien) fire hand gun or to masturbate.,0
pak zam,(from hokkien/teochew   _) literally means 'needle injection'. used to describe something faulty or not usable.,0
pak tor,(from cantonese    ) to go on a date. colloquially refers to general physical intimacy.,0
paktor,(from cantonese    ) to go on a date. colloquially refers to general physical intimacy.,0
pang chance,(from hokkien/teochew) to give chance.,0
pang sai,(from hokkien/teochew   _p_ng-s_i) to defecate.,0
pang seh,(from hokkien    ) hokkien slang for to be stood up (at an appointment) or cancelled upon at the last minute. not to be confused with 'pang sai'.,0
pang jio,(from hokkien/teochew   ) to urinate.,0
pariah,(from tamil) 1. used to describe something unsightly or disgusting. 2. used to describe the lowest and most unsightly caste (paraiyar gravediggers and sewerage in ancient india). 3. in modern times it is also used to describe something or someone of low quality.,4
pasar malam,(from malay) refers to the night markets.[36][37],0
photostat,(from english) photocopy.,0
pia,(from hokkien/teochew    pi_nn) to work hard at something or to rush something (such as homework).,0
piak piak,(from hokkien) to have sexual intercourse.,0
pok kai,(from cantonese     puk1 gaai1 lit. 'to fall into the street') 1. to go broke. 2. used to curse people.,2
pon,(from malay) short form of 'ponteng'. to play truant. e.g. want pon school today?,0
powderful,corruption of powerful.,0
pai tao,to make plans with your friends and decide to not show up.,0
puki,(from malay),0
pundek,vulgar term of the female sexual organ.,0
pundek from tamil,vulgar term of the female sexual organ.,0
rabak,(from malay) a situation out of hand.,0
rabz,(from malay) short form of rabak.,0
rabzkebabz,(from malay) an out-of-control situation usually with negative connotations. everyone was so drunk damn rabz-kebabz.,2
sabo,(from english sabotage) to play a trick on someone with a related meaning of getting someone else in trouble.[38],2
sakar,(from malay) to flatter to lick one's boots. derived from malay meaning 'sugar' although the malay word for sugar is actually gula which may have been derived from hindi 'sakar' or 'sakkar' meaning 'sugar' and 'sweet words' and ultimately from persian 'shakar' meaning 'sugar' 'sweet'.,0
saman,(from malay) used for traffic summons. derived from the english word summons. (lit. 'to fine'/'summon').,0
sampat,(from hokkien) mainly used to describe a female who is a combination of: silly /crazy/ wacky/ sassy/ short-circuit in the head. different from 38.,2
sam seng,(from hokkien/teochew  t   sa_-seng) gangster. also sam seng kia ( t   _ sa_-seng-ki__).,2
sargen,corruption of 'sergeant'.,0
sei,(from hokkien _) steady.,0
see first,a short form of wait and see what happens; we  ll see. most often used when procrastinating and putting off plans to be considered later. a variant of this phrase is see how first.,0
sekali,(from malay) lest what if. pronounced scar-ly.,0
shame shame,childish slang meaning of very disgraceful or embarrassing.,1
shiok,(from punjabi/malay) to express sheer delight with an experience especially when eating great food. popularly exclaimed in a single word shiok! or combined with another. e.g. shiok man! so shiok!,0
showflat,(from english) an event held by an estate agency that spans several weeks to promote a housing project usually condominiums.,0
sia,(from malay) an exclamation.,0
siah,(from malay) an exclamation.,0
siam,(from hokkien/teochew _ si_m) get out of the way! considered rude but effective.,0
sian,(from hokkien/teochew _ si_n) bored tired or sick of something.[39],2
sien,(from hokkien/teochew _ si_n) bored tired or sick of something.[39],2
siao,(from hokkien/teochew ڴ) 1. crazy. used in response to a silly suggestion. 2. an offensive term used to address a friend. 3. used to refer to somebody who is a fanatic. he siao bicycles is saying that someone is crazy about bicycles.,1
sia suay,see xia suay.,1
sibe,(from teochew      si2-b_6 lit. a curse vulgar word meaning 'dead father') similar to 'very'. interchangeably used in singaporean hokkien and singlish.,0
sibeh,(from teochew      si2-b_6 lit. a curse vulgar word meaning 'dead father') similar to 'very'. interchangeably used in singaporean hokkien and singlish.,0
si be,(from teochew      si2-b_6 lit. a curse vulgar word meaning 'dead father') similar to 'very'. interchangeably used in singaporean hokkien and singlish.,0
si beh,(from teochew      si2-b_6 lit. a curse vulgar word meaning 'dead father') similar to 'very'. interchangeably used in singaporean hokkien and singlish.,0
simi,(from hokkien  _  s_m-mi_h may also be written as ԣ   or ԣ } mandarin equivalent:    \) what?,0
si mi,(from hokkien  _  s_m-mi_h may also be written as ԣ   or ԣ } mandarin equivalent:    \) what?,0
x simi x,a literal translation of x   \x in chinese. what/why are you... in a derogatory sense. e.g. kwa simi kwa!? / look simi look!? (what are you looking at!?),0
x verb simi x,a literal translation of x   \x in chinese. what/why are you... in a derogatory sense. e.g. kwa simi kwa!? / look simi look!? (what are you looking at!?),0
si mi lan jiao,(from hokkien  _  z_ lit. 'what dickhead?') a much more derogatory term of what's up? or an exclamation to the effect of wtf.,0
si mi tai dzi,(from hokkien  _  n x) what's up? when accommodated with a lah at the end it could also mean what again? in an irritated manner.,0
sod,(from cantonese/english) used to express a machine person or object that has gone mental or haywire. localization of the word short from english term short circuit.,0
song,(from hokkien/cantonese  n lit. 'refreshing') used to express pleasure or excitement. same meaning as shiok.,0
sozai,(from cantonese  ̥j so4 zai2 lit. 'silly guy') used to express 'silliness'. example: these people are so sor zai one.,0
sor zai,(from cantonese  ̥j so4 zai2 lit. 'silly guy') used to express 'silliness'. example: these people are so sor zai one.,0
sotong,(from malay lit. 'squid') 1. forgetful or not knowing what is going on. e.g. blur like sotong (extremely clueless) 2. spineless or without principles like the cuttlefish.,0
steady pom pi pi,(from unknown) used to describe someone who keeps their cool under pressure or in the face of a massive crisis.,0
suay,(from hokkien/teochew  i soe) unlucky.[40],0
suka,(from malay) like.,0
suku,(from malay/teochew) from the malay for a quarter. meaning of silly or foolish or only a quarter there.,0
sui,(from hokkien _/  ) 1. nicely/just right/perfect. 2. clean neat & tidy. 3. pretty; beautiful (often used to describe a pretty woman) written as    in standard chinese.,0
swee,(from hokkien _/  ) 1. nicely/just right/perfect. 2. clean neat & tidy. 3. pretty; beautiful (often used to describe a pretty woman) written as    in standard chinese.,0
swaku,(from hokkien  s_ soa_-ku lit. 'mountain tortoise') not well informed or backward; a country bumpkin.,0
tahan,(from malay) handle; tolerate commonly used as 'i cannot tahan' meaning i can't bear it or i cannot tolerate.,2
tai ko,(from hokkien) lucky (only used sarcastically). literally 'leper'.,0
tyco,(from hokkien) lucky (only used sarcastically). literally 'leper'.,0
tak boleh,(from malay) cannot.,0
tak boleh tahan,(from malay) literally means cannot endure. used when someone is suffering from pain or when you couldn't wait upon something.,2
talk cock,vulgarity meaning of talking nonsense/senselessly and gibberish or engage in idle banter. probably originated from the english expression cock and bull story or its equivalent talking gibberish  x english slang for talking nonsense.,1
tok kok,vulgarity meaning of talking nonsense/senselessly and gibberish or engage in idle banter. probably originated from the english expression cock and bull story or its equivalent talking gibberish  x english slang for talking nonsense.,1
tan ku ku,(from hokkien    [ [ lit. 'wait long long') hokkien phrase meaning forget it it won't happen.,0
tau pok,see da bao.,0
teh,(from malay) tea. refer to kopi/coffee for more information about the different types of orders for tea and coffee common in singapore.,0
tekan,(from malay) bully/torture/put under pressure. military slang for punishments.,0
terbalik,(from malay) opposite/upside-down/inside-out. also pronounced dom-ba-lek.,0
tembalik,(from malay) opposite/upside-down/inside-out. also pronounced dom-ba-lek.,0
tiam,(from hokkien/malay) if used as an imperative a very rude way of saying shut up! or please be quiet but it literally means 'quiet' and can be used as in doing guard duty on holidays is very sian but also very diam since nobody is here.,0
thiam,(from hokkien/malay) if used as an imperative a very rude way of saying shut up! or please be quiet but it literally means 'quiet' and can be used as in doing guard duty on holidays is very sian but also very diam since nobody is here.,0
tio,(from hokkien/teochew  _tio_h mandarin equivalent:    zh_ng) 1. to get. (synonym: kena though it is used in different but overlapping contexts). usually used as a verb. e.g. he tio scolded by teacher. the car owner tio saman. 2. to accurately choose something. e.g. he always play 4d (lottery) and this time he tio so he won big jackpot.,0
tir ko pek,(from hokkien) a lecherous man.,0
toot,stupid/silly [person].,0
towkay,(from malay tauke or hokkien _ a th_u-ke) boss.,0
tow kay,(from malay tauke or hokkien _ a th_u-ke) boss.,0
tsai,(from hokkien  ~ ts_i) to be very good at something.,0
zai,(from hokkien  ~ ts_i) to be very good at something.,0
twa kee,(from hokkien  j k) used to describe big people or famous people.,0
ulu,(from malay) used to describe a rural or remote area or country bumpkin.[41] commonly found in road names around singapore as well (e.g. ulu pandan).,1
un,(from english/cantonese) abbreviation for 'understand' was once used widely in hong kong.,2
understooded,(from english) corruption of understood.,2
up lorry,(from hokkien/malay),2
very the,(from english/chinese) singlish phrase emphasising 'very' directly transliterated from the chinese  d ` a (f_i ch_ng de) which means the same. usually employed with a clearly sarcastic tone.,2
vomit blood,a literal translation of the chinese expression  r   which usually means to experience an extreme or unendurable difficulty or irritation. vomit is often prounced womit.,2
wa lan,(from hokkien/teochew   _ lit. 'oh my penis') crude derivative of wah lau.,2
wa lan eh,(from hokkien/teochew   _ lit. 'oh my penis') crude derivative of wah lau.,2
wah lan,(from hokkien/teochew   _ lit. 'oh my penis') crude derivative of wah lau.,2
wah lan eh,(from hokkien/teochew   _ lit. 'oh my penis') crude derivative of wah lau.,2
wa lao,exclamation of shock. what the hell.,2
wa lao eh,exclamation of shock. what the hell.,2
wah lao,exclamation of shock. what the hell.,2
wah lao eh,exclamation of shock. what the hell.,2
walao,exclamation of shock. what the hell.,2
walao eh,exclamation of shock. what the hell.,2
wah lau,exclamation of shock. what the hell.,2
wah lau eh,exclamation of shock. what the hell.,2
walau,exclamation of shock. what the hell.,2
walau eh,exclamation of shock. what the hell.,2
wa kao,(from chinese  z a w_ k_o) exclamation of shock. what the fuck.,2
wah kao,(from chinese  z a w_ k_o) exclamation of shock. what the fuck.,2
wakao,(from chinese  z a w_ k_o) exclamation of shock. what the fuck.,2
wa se,(from hokkien/teochew  z  wah seh) exclamation of shock. what the fuck.,0
wa seh,(from hokkien/teochew  z  wah seh) exclamation of shock. what the fuck.,0
wah se,(from hokkien/teochew  z  wah seh) exclamation of shock. what the fuck.,1
wah seh,(from hokkien/teochew  z  wah seh) exclamation of shock. what the fuck.,1
wayang,(from malay) literal for puppetry theatrical. means 'acting' or 'for show'.,0
white horse,(from english) the son of a government official and/or some other influential person. the term is derived from the drawing of a white horse that used to appear at the bottom left-hand corner of the computer screen displaying patient information when said scion visits his camp's medical officer.,0
womit,mispronunciation of 'vomit'.,0
xia lan,(from hokkien) arrogant; egoistic; pretentious.,0
xia suay,(from hokkien/teochew _ i /  m i si_-soe)[42] disgrace; embarrassment. unlucky.,1
yandao,(from hokkien _  i_n-t_u) a handsome male.,0
yaya papaya,used to describe someone who's proud arrogant or showing off; often with disappointing outcomes. i.e. our football team's striker is damn yaya papaya always try to solo dribble until lose the ball.,1
your head,mild curse used to disabuse someone of his or her erroneous assumption. directly transliterated from chinese  a  _ or  a__. often used in conjunction with the word ah i.e. your head ah.,1
zao hor,(from hokkien) impressive.,0
zao kng,(from hokkien) to accidentally expose oneself.,0
zhun,(from chinese   /   hokkien: ch_n mandarin:zh_n) accurate.,0
zhun bo,(from hokkien/teochew   _ ch_n-b_ lit. 'accurate or not?') means are you sure or not?,0
zi siao,(from hokkien _   th_-si_u) to disturb ridicule or tease.,0
char kway teow,(from hokkien/teochew) fried flat rice noodles with bean sprouts chinese sausages eggs and cockles in black sweet sauce with or without chilli.,0
chwee kueh,(from teochew    _) cup-shaped steamed rice flour cakes topped with preserved vegetables (usually radish) and served with or without chilli.,0
hokkien char mee,(from hokkien  ֫ت    lit. 'fujian fried noodles') refers to the kuala lumpur hokkien noodle. it is a dish of thick yellow noodles braised in thick dark soy sauce with pork squid fish cake and cabbage as the main ingredients and cubes of pork fat fried until crispy.,0
hokkien hae mee,(from hokkien  ֫ _   lit. 'fujian prawn noodles') refers to either the penang prawn noodle or singapore prawn noodle. soup-based (penang) and stir-fried (singapore). egg noodles and rice noodles with no dark soya sauce used. prawn is the main ingredient with slices of chicken or pork squid and fish cake. kang kong (water spinach) is common in the penang version.,0
ice kacang,(from malay) crushed ice with flavoured syrup poured into them. beans and jelly are usually added as well.,0
kangkong,(from malay) water spinach / ipomoea aquatica.,0
kangkung,(from malay) water spinach / ipomoea aquatica.,0
kaya,(from malay) local jam mixture made of coconut sugar and egg of straits chinese origins.,0
rotikaya,(from malay) toasted bread with kaya.,0
mee goreng,(from chinese/malay) malay fried noodles.,0
otah,(from malay) fish paste wrapped in banana leaf or coconut leaves and cooked over a charcoal fire. southeast asian influence,0
popiah,(from hokkien) chinese spring rolls (non-fried). various condiments and vegetables wrapped in a flour skin with sweet flour sauce. condiments can be varied but the common ones include turnip bamboo shoots lettuce chinese sausage prawns bean sprouts garlic and peanut. origins from china. hokkien and straits chinese (nonya) popiah are the main versions.,0
rojak,(from malay) local salad of malay origins. a mixture of sliced cucumber pineapple turnip dried beancurd chinese doughsticks (youtiao) bean sprouts with prawn paste sugar lotus buds and assam (tamarind).,0
roti john,(from malay/english) indian version of western hamburger consisting of two halves of french loaves fried with egg and minced beef/mutton. colonial origins.,0
tauge,(from hokkien    _t_u-g_) bean sprout.,0
taoge,(from hokkien    _t_u-g_) bean sprout.,0
taugeh,(from hokkien    _t_u-g_) bean sprout.,0
taugey,(from hokkien    _t_u-g_) bean sprout.,0
tau gee,(from hokkien    k t_u-ki) dried bean stick; dried beancurd strips in sticks or rolls.,0
tze char,(from hokkien  n   ch_-chh_) literally meaning cook and fry. a general term for food served by mini restaurants in local hawker stalls serving restaurant-style chinese dishes like fried noodles sweet and sour pork claypot tofu etc.,0
teho,(from hokkien   _ t_-o lit.'black tea') tea without milk but instead with sugar.,0
tehoicelimau,(from hokkien-english-malay) home brewed iced lemon tea.,0
tehc,(from hokkien/hainanese) tea with evaporated milk. the c refers to the evaporated milk derived from hainanese see/xi which sounds like alphabet 'c' in hainanese see gu-nin refers to evaporated or fresh (see/c) milk (gu-nin) e.g. king of kings or carnation as many coffeeshops and related businesses are operated by hainanese people in earlier days and even today.,0
tehcino,(from hokkien) milk layered with tea on top (similar to latte macchiato) though its name hints towards a tea version of cappuccino.,0
tehpeng,(from hokkien    b t_-peng) iced milk tea sweetened with condensed milk.,0
tehpoh,(from hokkien      t_-po_h) weak or thin tea.,0
tehkosong,(from hokkien/malay) plain tea.,0
tehkahdai,(from hokkien/foochow) milk tea sweetened with condensed milk with more sugar.,0
tehsiudai,(from hokkien/foochow) milk tea sweetened with condensed milk with less sugar.,0
tehpua seo,(from hokkien    b_ t_ pu_nn-sio) luke-warmed tea.,0
tehokahdai,(from hokkien/foochow) tea with more sugar.,0
tehosiudai,(from hokkien/foochow) tea with less sugar.,0
tehckahdai,(from hokkien/hainanese/foochow) milk tea with more sugar.,0
tehcsiudai,(from hokkien/hainanese/foochow) milk tea with less sugar.,0
tehpacket or tehpao,(from hokkien    ] t_ pau) tea to go.,0
tehtarik,(from malay) 'pulled' tea with milk a malay specialty.,0
tehhalia,(from malay) tea with ginger extract.,0
tehhalia tarik,(from malay) pulled tea with milk (teh tarik) and ginger.,0
tiao he,(from hokkien __ ti_-h_ lit. 'fishing') teabag in hot water. reference to dipping of teabag.,0
tiau hir,(from hokkien __ ti_-h_ lit. 'fishing') teabag in hot water. reference to dipping of teabag.,0
kopio,(from malay/hokkien  @ _ka-pi) coffee.,0
kopic,(from malay/hokkien  @  _ ka-pi-o lit. 'black coffee') coffee with sugar but no milk.,0
kopi kosong,(from malay/hainanese) coffee with evaporated milk. the c refers to the evaporated milk derived from hainanese see/xi which sounds like alphabet c in hainanese see gu-nin refers to evaporated or fresh (see/c) milk (gu-nin) e.g. king of kings or carnation as many coffeeshops and related businesses are operated by hainanese people in earlier days and even today.,0
kopipeng,(from malay/hokkien  @ ئb ka-pi-peng) coffee with ice.,0
kopipacket,(from malay/hokkien  @ إ] ka-pi-pau) coffee to go.,0
kopipao,(from malay/hokkien  @ إ] ka-pi-pau) coffee to go.,0
kopipua seo,(from malay/hokkien  @ إb_ ka-pi-pua-sio) luke-warmed coffee.,0
kopigao,(from malay/hokkien  @ ثp ka-pi k_u) thick coffee.,0
kopipoh,(from malay/hokkien  @     ka-pi-poh) weak or thin coffee.,0
kopikosong,(from malay/hokkien) plain coffee.,0
kopikahdai,(from malay/foochow) coffee with more sugar.,0
kopisiudai,(from malay/foochow) coffee with less sugar.,0
bandung,(from malay) rose syrup-milk drink of indian origins. (goat's milk was used in the old days).,0
bandung drink,(from malay) rose syrup-milk drink of indian origins. (goat's milk was used in the old days).,0
ice kosong,(from english-malay) iced water.,0
horlickdinosaur,(from english) iced horlicks with extra scoop of horlicks powder on top.,0
horlicksio,(from hokkien-english) hot horlicks.,0
horlickpeng,(from hokkien-english) iced horlicks.,0
milosio,(from hokkien-english) hot milo.,0
milo dinosaur,(from english) iced milo with extra scoop of undissolved milo powder on top.,0
milopeng,(from hokkien-english) iced milo.,0
tak kiu,(from hokkien   y lit. 'play football' or 'play soccer') milo; nestl_ milo often uses soccer and other sports as the theme of its advertisement.,0
tak kiupeng,(from hokkien) iced milo.,0
aa,,0
abang,,0
acar achar,,0
adoi,,0
agak,,0
agaration,,0
agaragar,,0
ah,,0
ah beng,,0
ah chek,,0
ah huay,,0
ah kor,,0
ah kua,,0
ah lian,,0
ah long,,0
ah pek,,0
ah soh,,0
ahballing,,0
aircon,,0
airlevel,,0
ajay,,0
ak,,0
akshen aje,,0
aksi borak,,1
ali baba bag,,0
ambilla labu,,0
ang ku kueh,,0
angkat,,0
angkat bola,,0
angkoli,,0
angkoo kueh,,0
angpow,,0
anyhow,,0
anyhow whack,,0
appom,,0
aq,,0
ar ka chi,,0
ar ka liau,,0
ar lip bo ar chut,,0
arbuthen,,1
arboling,,0
ardeh,,0
argable,,0
arrow,,0
art buah,,0
assam,,0
assam laksa,,0
assam pedas,,0
attap chee,,0
attend b,,0
attend c,,0
auntie,,0
ayam buah keluak,,0
ayam penyet,,0
ayam percik,,0
ayam sio,,0
ayjay,,0
babi pongteh,,0
bag of balls,,1`
bak,,0
bak chang,,0
bak chor mee,,0
bak kua,,0
bak kut teh,,0
bakwan kepiting,,0
balek,,0
balls drop,,4
balls shrink,,4
balukoo,,0
ban mian,,0
banana,,0
banana note,,0
banana money,,0
bapok,,0
barangbarang,,0
basha,,0
basket,,1
batang,,0
bayam,,0
bayee,,0
bedek,,0
beef ball,,0
beef rendang,,0
beehoon,,0
beehoon pattaya,,0
beggar s chicken,,0
beh keng,,0
belacan,,0
beng,,0
bengkok,,0
bergedel,,0
bgr,,0
bhai,,0
bible,,0
bishop s nose,,0
bittergourd,,0
black bean sauce,,0
black fungus,,0
blank,,0
blank file,,0
blanket party,,0
bludder,,0
blue ginger,,0
blue thunder,,0
blur,,1
blur king,,1
blur like sotong,,1
bo,,0
bo chap,,0
bo cheng hu,,0
bo hew,,0
bo hiu,,0
bo hua,,0
bo idea,,1
bo lin chu,,0
bo min,,0
bo pakeh,,0
bo peng yau si,,1
bo pian,,1
bo sui,,0
bobo,,0
bogay,,0
boh,,0
bottlecaps,,0
briyani,,0
buah cheri,,0
buah duku,,0
buah susu,,0
buat bodoh suak,,0
buay zai,,0
bubble tea,,0
bubor chacha,,0
bubor terigu,,0
bulat,,0
bungalow,,0
burger ramly,,0
burned burnt,,0
butoh,,0
cabut chabut,,0
cake lapis,,0
calafare,,0
campong,,0
can die,,1
cannot make it,,1
capteh,,0
cari makan,,0
carrot cake,,0
carry,,0
carry balls,,0
cartoon,,0
cb,,0
cb leaf,,0
century egg,,0
cha tow peng,,0
chabut,,0
chai poh,,0
chai sim,,0
cham sheung,,0
chandu,,0
change parade,,0
change underwear,,0
changkul,,0
chao chee bye,,0
chao kang,,0
chao kuan,,0
chao private,,0
chap chye,,0
chap go mei,,0
chap ji ki,,0
chapalang,,0
chapteh,,0
penang char kway teow,,0
char siew,,0
char siew fun,,0
char siew noodles,,0
char siew pau,,0
char siew rice,,0
char siew su,,0
chari makan,,0
chari point,,0
chatek,,0
chau peng,,0
chaybah,,0
cheapo,,0
chee bye leaf,,0
chee cheong fun,,0
chee sin,,0
cheeko,,0
cheeko pek,,0
cheemology,,0
cheh,,0
chempedak,,0
chendol,,0
cheng tng,,0
chengai,,0
cheong fun,,0
chhek,,0
chhun,,0
chia,,0
chia bo liau,,0
chia chua,,0
chia giu,,0
chia hi,,0
chia hong,,0
chia kentang,,0
chia lat,,0
chiah chiak,,0
chicken backside,,0
chickenfeed,,0
chicken rice,,0
chicken rice balls,,0
chiku,,0
chilli padi,,0
chin chow,,0
chinchalok,,0
chindian,,0
chinese helicopter,,0
ching ming festival,,0
chingay,,0
chingei,,0
chio,,0
chitty melaka,,0
chochok,,0
chopchop kali pok,,0
chope int,,0
choy,,0
chua,,0
chum,,0
chuppie,,0
chye png,,0
chye por,,0
chye sim,,0
chye tow kuay,,0
cina,,0
cincaluk,,0
claypot,,0
claypot rice,,0
climb on top,,0
clown,,0
co ok,,0
cock,,0
cock stand,,0
cockup,,0
cocok,,0
coconut,,0
coffee shop,,0
commando,,0
condemned,,0
confine,,0
confinement,,0
coo coo cheow,,0
cooling,,0
cowboy,,0
crab,,0
curry devil,,0
currypok,,0
dd,,0
deepavali,,0
deh,,0
devil curry,,0
dhobi,,0
dhobi mark,,0
diao he,,0
ding dong,,0
diedie,,1
dirty,,0
dodol,,0
dot dot dot,,0
double,,0
doubleboiled,,0
dragon boat festival,,0
drop,,0
drunken,,0
drunken chicken,,0
drunken prawns,,0
dry,,0
duku,,0
dukulangsat,,0
dumpling festival,,0
eat salt,,0
ee,,0
ee fu noodles,,0
ee meen,,0
eff you,,0
egg prata,,0
eh,,0
elephant,,0
exercise,,0
fa cai,,0
face,,0
give face,,0
lose face,,1
save face,,0
fan choy,,0
fat choy,,0
feng,,0
fever high,,0
fire in the hole,,0
firewalking,,0
fishball,,0
fishcake,,0
fivefoot way,,0
fivespice powder,,0
five stones,,0
fly aeroplane,,0
fly kite,,0
flying low,,0
foochow,,0
fork and spoon,,0
free and easy,,0
fu chuk,,0
fu yu,,0
fuck,,2
fuck upside down,,0
fuck spider,,0
fuckedup,,2
fuckshop,,0
g,,0
gabra king,,1
gado gado,,0
gan shui,,0
gao ding,,0
gasak,,0
geng,,0
gerek,,0
getai,,0
gila,,0
glam,,0
glass noodles,,0
go fly kite,,0
goblock,,0
goli,,0
gone case,,1
gong n,,1
gong gonggong a,,1
gonggong n,,1
gorblock,,1
goreng,,0
goreng pisang,,0
grago,,0
grandfather s,,0
grandfather s army,,0
green bean,,0
green bean soup,,0
gso,,0
gu niang,,0
gula melaka,,0
sago gula melaka,,0
guo tie,,0
habis,,0
hae ko,,0
hae mee,,0
haebee,,0
hah,,0
hainanese,,0
hainanese chicken rice,,0
hainanese pork chop,,0
hainanese steamboat,,0
hakka yong tau fu,,0
halal,,0
half past six,,0
ham shap,,0
hami melon,,0
hammer,,0
hantam,,0
haolian,,0
har gau,,0
har lok,,0
haram,,0
hari raya haji,,0
hari raya puasa,,0
hashima,,0
hati babi,,0
havoc,,0
hawker,,0
hawker centre,,0
hawker stall,,0
hay bee,,0
hay bee hiam,,0
hay cho,,0
hay ko,,0
hay mee,,0
haywiring,,0
heartlander,,0
heartware,,0
heaty,,0
heck care,,0
hee peow,,0
helicopter,,0
hell money,,0
henghwa,,0
hentam,,0
hentam bola,,0
hentam kaki,,0
heow,,0
hex,,0
hiao,,0
hiau,,0
hilang,,0
hinghwa,,0
hoi sin sauce,,0
hokchew hokchiew,,0
hokkien,,0
hokkien mee hokkien fried mee,,0
hokkien peng,,0
hor,,0
hor fun,,0
ipoh hor fun,,0
sam lo hor fun,,0
hor miah,,0
horn,,0
horrigible,,0
hotplate,,0
hotpot,,0
huat kueh,,0
hum chim peng,,0
hungry ghost festival,,0
ic1,,0
ic2,,0
ice jelly,,0
iceball,,0
idiappam,,0
idle king,,0
ikan bilis,,0
ikan kicap,,0
ikan kuning,,0
ikan merah,,0
inche,,0
indian chief,,0
indian rojak,,0
iron rice bowl,,0
is it,,0
itchy,,0
itek tim,,0
jaga,,0
jalan,,0
jalan,,0
jangan tension,,0
ji siao,,1
jiao zi,,0
joe,,0
jube,,0
jut,,0
ka ki nang,,0
kacang,,0
kacang pool,,0
kacang putih,,0
kacau,,0
kachang,,0
kai lan,,0
kaki,,0
kalang kabok,,0
kalang kabut,,0
kali pok,,0
kampung chicken,,0
kan cheong,,0
kan cheong spider,,0
kan ni na,,0
kan ni na bu chao chee bye,,0
kana,,0
kancheong,,0
kang he kia,,0
kang tao,,0
kantang,,0
kao peh kao bu,,0
kapuk,,0
karang guni,,0
karung guni,,0
karung guni man,,0
katek,,0
kati,,0
katik,,0
katik ayam,,0
kau choi,,0
kau kay,,0
kau kay choi,,0
kau kay tzee,,0
kay kay,,0
kay kiang,,0
kaya toast,,0
kaypoh chi,,0
kebelakang pusing,,0
kee chang,,0
kelam kabut,,0
kelong,,0
keng,,0
keng king,,0
keng ka liau,,0
kengster,,0
kentang,,0
keoh teoh,,0
keropok,,0
ketok,,0
ketupat,,0
khek,,0
khiakhia,,0
khoon,,0
kiam chye,,0
kiao kar,,0
kiao kar yo lum pa,,0
kiasiism,,4
kiasuism,,4
kiasuness,,4
kin,,0
king,,0
kitchi,,0
kiv,,0
kiwi,,0
kling,,0
kon lo meen,,0
kong bak pau,,0
koo niang,,0
koon,,0
koon king,,0
kopi kah tai,,0
kopi kau,,0
kopi kia,,0
kopi licence,,0
kopi money,,0
kopi peng,,0
kopi po,,0
kopi siew tai,,0
kopi susu,,0
kopichino,,0
kopio kosong,,0
korban korban,,0
koro,,0
kosong,,0
kotek,,0
koyak,,0
kuachi,,0
kuah lang,,0
kuah midnight,,0
kuai lan,,0
kucing kurap,,0
kueh,,0
kueh ambon,,0
kueh bangkit,,0
kueh baulu,,0
kueh bingka,,0
kueh dadar,,0
kueh dodol,,0
kueh jongkong,,0
kueh kapit,,0
kueh koci kueh kochi,,0
kueh kosui,,0
kueh lapis,,0
kueh lopes,,0
kueh pie tee,,0
kueh salat,,0
kueh talam,,0
kueh tutu,,0
kueh wajik,,0
peach kueh,,0
perng kueh,,0
soon kueh,,0
kuih,,0
kuti,,0
kway chap,,0
kway teow,,0
la mian,,0
laksa,,0
laksa leaf,,0
penang laksa,,0
lan,,0
lan cheow,,0
lanlan,,0
langgar,,0
langsat,,0
lantern festival,,0
lao jiao,,0
lau jiao,,0
lau kwee,,0
lau peng,,0
leceh,,0
lei cha fan,,0
lelong,,0
lemak,,0
lemang,,0
lembek,,0
lengkuas,,0
level,,0
liam keng,,0
lian lian,,0
like nobody s business,,2
like that,,0
lin yoong,,0
little red dot,,0
lo hei,,0
lo shee fun,,0
lobo,,0
loh kai yik,,0
lok lok,,0
long bean,,0
long chiam pas,,0
longan,,0
longkang,,0
lontong,,0
lor ark,,0
lor mai gai,,0
lor mee,,0
lotus root,,0
lotus seed,,0
love letter,,0
lppl,,0
lum pa,,0
lum pa pa lan,,0
lupcheong,,0
ma lai kou,,0
ma si sa ko,,0
mabok,,0
mah jie,,0
mah mee,,0
maintain balan,,0
cari makan chari makan,,0
makan session,,0
malau,,0
malau peng,,0
mama mamak,,0
mama shop mamak shop,,0
mangali,,0
manja,,0
market,,0
mass orgy,,0
mat,,0
mat rok,,0
mat salleh,,0
mata kuching,,0
mc,,0
mc king,,0
mee,,0
ponggol mee goreng,,0
mee kia,,0
mee pok,,0
mee pok tah,,0
mee rebus,,0
mee siam,,0
mee soto,,0
mee soup,,0
mee sua,,0
mee tai bak,,0
meehoon,,0
wantan mee,,0
mei cai,,0
mei cai kou rou,,0
merlion merlion,,0
midautumn festival,,0
milo godzilla,,0
miloccino,,0
minah,,0
ming jiang kueh,,0
mood,,0
mooncake,,0
muffadet,,0
mugger,,0
mugger toad,,0
mui choy,,0
mum mum,,0
munjen,,0
murtabak,,0
murukku,,0
my one,,0
nam yu,,0
nanny nanny boo boo,,0
nasi,,0
nasi beriani nasi briyani,,0
nasi campur,,0
nasi goreng,,0
nasi goreng istimewa,,0
nasi goreng pattaya,,0
